name,nation,details,alias,def_country,activeplatforms
BOCA JUNIORS,false,"{""teamAbbr""=>""BOC"", ""teamCity""=>""Buenos Aires"", ""teamName""=>""Boca Juniors"", ""teamFounded""=>""1905"", ""teamStadium""=>""La Bombonera"", ""teamCapacity""=>49000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=270""}","BOCA JUNIORS, BUENOS AIRES",ARGENTINA,true,"[""PES21"",""FIFA23""]"
ATLÉTICO MINEIRO,false,"{""teamAbbr""=>""CAM"", ""teamCity""=>""Belo Horizonte"", ""teamName""=>""Atlético Mineiro"", ""teamFounded""=>""1908"", ""teamStadium""=>""Mineirão"", ""teamCapacity""=>62162, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=286""}",ATLÉTICO MINEIRO,BRAZIL,true,"[""PES21"",""FIFA23""]"
RIONEGRO ÁGUILAS,false,"{""teamAbbr""=>""ADR"", ""teamCity""=>""Rionegro"", ""teamName""=>""Aguilas Doradas"", ""teamFounded""=>""2008"", ""teamStadium""=>""Alberto Grisales"", ""teamCapacity""=>14000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1767""}",RIONEGRO,COLOMBIA,true,"[""PES21""]"
LANÚS,false,"{""teamAbbr""=>""LAN"", ""teamCity""=>""Lanús"", ""teamName""=>""Lanús"", ""teamFounded""=>""1915"", ""teamStadium""=>""La Fortaleza"", ""teamCapacity""=>47027, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=277""}",LANÚS,ARGENTINA,true,"[""PES21"",""FIFA23""]"
ULSAN HYUNDAI,false,"{""teamAbbr""=>""ULS"", ""teamCity""=>""Ulsan"", ""teamName""=>""Ulsan Hyundai"", ""teamFounded""=>""1983"", ""teamStadium""=>""Big Crown"", ""teamCapacity""=>44466, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=681""}",ULSAN HYUNDAI,REPUBLIC OF KOREA,true,"[""PES21"",""FIFA23""]"
DEFENSA Y JUSTICIA,false,"{""teamAbbr""=>""DyJ"", ""teamCity""=>""Buenos Aires"", ""teamName""=>""Defensa y Justicia"", ""teamFounded""=>""1935"", ""teamStadium""=>""Norberto Tomaghello"", ""teamCapacity""=>18000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1573""}",DEFENSA Y JUSTICIA,ARGENTINA,true,"[""PES21"",""FIFA23""]"
INDEPENDIENTE,false,"{""teamAbbr""=>""CAI"", ""teamCity""=>""Avellaneda"", ""teamName""=>""Independiente"", ""teamFounded""=>""1905"", ""teamStadium""=>""Libertadores de América"", ""teamCapacity""=>48069, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=275""}",INDEPENDIENTE,ARGENTINA,true,"[""PES21"",""FIFA23""]"
COLÓN,false,"{""teamAbbr""=>""COL"", ""teamCity""=>""Santa Fe"", ""teamName""=>""Colón"", ""teamFounded""=>""1905"", ""teamStadium""=>""Estanislao López"", ""teamCapacity""=>32500, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=271""}","COLÓN, C.A. COLÓN",ARGENTINA,true,"[""PES21"",""FIFA23""]"
SAN LORENZO,false,"{""teamAbbr""=>""SAN"", ""teamCity""=>""Buenos Aires"", ""teamName""=>""San Lorenzo"", ""teamFounded""=>""1908"", ""teamStadium""=>""Nuevo Gasómetro"", ""teamCapacity""=>43995, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=284""}","SAN LORENZO, SAN LORENZO DE ALMAGRO",ARGENTINA,true,"[""PES21"",""FIFA23""]"
NEWELL'S OLD BOYS,false,"{""teamAbbr""=>""NOB"", ""teamCity""=>""Rosario"", ""teamName""=>""Newell’s Old Boys"", ""teamFounded""=>""1903"", ""teamStadium""=>""Marcelo Bielsa"", ""teamCapacity""=>42000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=278""}",NEWELL'S OLD BOYS,ARGENTINA,true,"[""PES21"",""FIFA23""]"
