name,nation,details,alias,def_country,activeplatforms
ANTALYASPOR,false,"{""teamAbbr""=>""ANT"", ""teamCity""=>""Antalya"", ""teamName""=>""Antalyaspor"", ""teamFounded""=>""1966"", ""teamStadium""=>""Antalya Stadyumu"", ""teamCapacity""=>32539, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=795""}",ANTALYASPOR,TURKEY,true,"[""PES21"",""FIFA23""]"
KASIMPASA SK,false,"{""teamAbbr""=>""KAS"", ""teamCity""=>""İstanbul"", ""teamName""=>""Kasimpaşa SK"", ""teamFounded""=>""1921"", ""teamStadium""=>""Recep Tayyip Erdoğan"", ""teamCapacity""=>13500, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1449""}","KASIMPAŞA SK, KASIMPAŞA",TURKEY,true,"[""PES21"",""FIFA23""]"
FATIH KARAGUMRUK,false,"{""teamAbbr""=>""KAR"", ""teamCity""=>""Istanbul"", ""teamName""=>""Fatih Karagümrük"", ""teamFounded""=>""1926"", ""teamStadium""=>""Atatürk Olimpiyat Stadyumu"", ""teamCapacity""=>76092, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=3345""}",FATIH KARAGÜMRÜK,TURKEY,true,"[""PES21"",""FIFA23""]"
BLACKBURN ROVERS,false,"{""teamAbbr""=>""BLA"", ""teamCity""=>""Blackburn"", ""teamName""=>""Blackburn Rovers"", ""teamFounded""=>""1875"", ""teamStadium""=>""Ewood Park"", ""teamCapacity""=>31367, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=5""}","BLACKBURN ROVERS, BLACKBURN BW",ENGLAND,true,"[""PES21"",""FIFA23""]"
QUEENS PARK RANGERS,false,"{""teamAbbr""=>""QPR"", ""teamCity""=>""London"", ""teamName""=>""Queens Park Rangers"", ""teamFounded""=>""1882"", ""teamStadium""=>""Loftus Road"", ""teamCapacity""=>18439, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=64""}","QUEENS PARK RANGERS, QPR",ENGLAND,true,"[""PES21"",""FIFA23""]"
MILLWALL,false,"{""teamAbbr""=>""MIL"", ""teamCity""=>""London"", ""teamName""=>""Millwall"", ""teamFounded""=>""1885"", ""teamStadium""=>""The Den"", ""teamCapacity""=>20146, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=51""}","MILLWALL, MILLWALL BW",ENGLAND,true,"[""PES21"",""FIFA23""]"
KAYSERISPOR,false,"{""teamAbbr""=>""KAY"", ""teamCity""=>""Kayseri"", ""teamName""=>""Kayserispor"", ""teamFounded""=>""1966"", ""teamStadium""=>""Kayseri Kadir Has"", ""teamCapacity""=>33000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=490""}",KAYSERISPOR,TURKEY,true,"[""PES21"",""FIFA23""]"
READING,false,"{""teamAbbr""=>""REA"", ""teamCity""=>""Reading"", ""teamName""=>""Reading"", ""teamFounded""=>""1871"", ""teamStadium""=>""Madejski"", ""teamCapacity""=>24161, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=65""}","READING, READING BW",ENGLAND,true,"[""PES21"",""FIFA23""]"
BIRMINGHAM CITY,false,"{""teamAbbr""=>""BIR"", ""teamCity""=>""Birmingham"", ""teamName""=>""Birmingham City"", ""teamFounded""=>""1875"", ""teamStadium""=>""St Andrews"", ""teamCapacity""=>30009, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=4""}","BIRMINGHAM CITY, BIRMINGHAM B",ENGLAND,true,"[""PES21"",""FIFA23""]"
KONYASPOR,false,"{""teamAbbr""=>""KON"", ""teamCity""=>""Konya"", ""teamName""=>""Konyaspor"", ""teamFounded""=>""1922"", ""teamStadium""=>""Konya Büyükşehir"", ""teamCapacity""=>42000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=801""}",KONYASPOR,TURKEY,true,"[""PES21"",""FIFA23""]"
MKE ANKARAGÜCÜ,false,"{""teamAbbr""=>""ANK"", ""teamCity""=>""Ankara"", ""teamName""=>""MKE Ankaragücü"", ""teamFounded""=>""1910"", ""teamStadium""=>""Eryaman Stadium"", ""teamCapacity""=>22000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=511""}","MKE ANKARAGÜCÜ, ANKARAGÜCÜ",TURKEY,true,"[""PES21"",""FIFA23""]"
GAZIANTEP FK,false,"{""teamAbbr""=>""GFK"", ""teamCity""=>""Gaziantep"", ""teamName""=>""Gaziantep FK"", ""teamFounded""=>""1998"", ""teamStadium""=>""Gaziantep Arena"", ""teamCapacity""=>33502, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2012""}",GAZIANTEP FK,TURKEY,true,"[""PES21"",""FIFA23""]"
HUDDERSFIELD TOWN,false,"{""teamAbbr""=>""HUD"", ""teamCity""=>""Huddersfield"", ""teamName""=>""Huddersfield Town"", ""teamFounded""=>""1908"", ""teamStadium""=>""John Smith's Stadium"", ""teamCapacity""=>24500, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=36""}","HUDDERSFIELD TOWN, HUDDERSFIELD BW, HUDDERSFIELD",ENGLAND,true,"[""FIFA23""]"
CARDIFF CITY,false,"{""teamAbbr""=>""CAR"", ""teamCity""=>""Cardiff"", ""teamName""=>""Cardiff City"", ""teamFounded""=>""1899"", ""teamStadium""=>""Cardiff City Stadium"", ""teamCapacity""=>33316, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=18""}","CARDIFF CITY, CARDIFF B",ENGLAND,true,"[""PES21"",""FIFA23""]"
ROTHERHAM UNITED,false,"{""teamAbbr""=>""ROT"", ""teamCity""=>""Rotherham"", ""teamName""=>""Rotherham United"", ""teamFounded""=>""1884"", ""teamStadium""=>""New York Stadium"", ""teamCapacity""=>12021, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=67""}","ROTHERHAM UNITED, ROTHERHAM RW",ENGLAND,true,"[""PES21"",""FIFA23""]"
FORTALEZA EC,false,"{""teamAbbr""=>""FOR"", ""teamCity""=>""Fortaleza"", ""teamName""=>""Fortaleza EC"", ""teamFounded""=>""1918"", ""teamStadium""=>""Arena Castelão"", ""teamCapacity""=>67000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=296""}",FORTALEZA,BRAZIL,true,"[""PES21""]"
GRÊMIO,false,"{""teamAbbr""=>""GRÊ"", ""teamCity""=>""Porto Alegre"", ""teamName""=>""Grêmio"", ""teamFounded""=>""1903"", ""teamStadium""=>""Arena do Grêmio"", ""teamCapacity""=>60540, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=602""}",GRÊMIO,BRAZIL,true,"[""PES21""]"
CHAPECOENSE AF,false,"{""teamAbbr""=>""ACF"", ""teamCity""=>""Chapecó"", ""teamName""=>""Chapecoense AF"", ""teamFounded""=>""1973"", ""teamStadium""=>""Arena Condá"", ""teamCapacity""=>25000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2379""}","CHAPECOENSE, CHAPECOENSE AF",BRAZIL,true,"[""PES21""]"
JUVENTUDE,false,"{""teamAbbr""=>""JUV"", ""teamCity""=>""Caxias do Sul"", ""teamName""=>""Juventude"", ""teamFounded""=>""1913"", ""teamStadium""=>""Alfredo Jaconi"", ""teamCapacity""=>30519, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=299""}",JUVENTUDE,BRAZIL,true,"[""PES21""]"
SPORT RECIFE,false,"{""teamAbbr""=>""SPO"", ""teamCity""=>""Recife"", ""teamName""=>""Sport Recife"", ""teamFounded""=>""1905"", ""teamStadium""=>""Ilha do Retiro"", ""teamCapacity""=>35000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=923""}",SPORT RECIFE,BRAZIL,true,"[""PES21""]"
ADO DEN HAAG,false,"{""teamAbbr""=>""ADO"", ""teamCity""=>""The Hague"", ""teamName""=>""ADO Den Haag"", ""teamFounded""=>""1905"", ""teamStadium""=>""Cars Jeans Stadion"", ""teamCapacity""=>15000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=177""}",ADO DEN HAAG,NETHERLANDS,true,"[""PES21""]"
HERACLES ALMELO,false,"{""teamAbbr""=>""HER"", ""teamCity""=>""Almelo"", ""teamName""=>""Heracles Almelo"", ""teamFounded""=>""1903"", ""teamStadium""=>""Erve Asito"", ""teamCapacity""=>12080, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=197""}",HERACLES,NETHERLANDS,true,"[""PES21""]"
VVV-VENLO,false,"{""teamAbbr""=>""VVV"", ""teamCity""=>""Venlo"", ""teamName""=>""VVV-Venlo"", ""teamFounded""=>""1903"", ""teamStadium""=>""De Koel"", ""teamCapacity""=>8000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=210""}",VVV,NETHERLANDS,true,"[""PES21""]"
PLYMOUTH ARGYLE,false,"{""teamAbbr""=>""PLY"", ""teamCity""=>""Plymouth"", ""teamName""=>""Plymouth Argyle"", ""teamFounded""=>""1886"", ""teamStadium""=>""Home Park"", ""teamCapacity""=>19500, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=60""}",PLYMOUTH ARGYLE,ENGLAND,true,"[""FIFA23""]"
PALMEIRAS,false,"{""teamAbbr""=>""PAL"", ""teamCity""=>""São Paulo"", ""teamName""=>""Palmeiras"", ""teamFounded""=>""1914"", ""teamStadium""=>""Allianz Parque"", ""teamCapacity""=>45000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=300""}","BARRA FUNDA V, SE PALMEIRAS",BRAZIL,true,"[""PES21"",""FIFA23""]"
FLAMENGO,false,"{""teamAbbr""=>""FLA"", ""teamCity""=>""Rio de Janeiro"", ""teamName""=>""Flamengo"", ""teamFounded""=>""1895"", ""teamStadium""=>""Maracanã"", ""teamCapacity""=>78838, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=294""}",FLAMENGO,BRAZIL,true,"[""PES21"",""FIFA23""]"
FEYENOORD,false,"{""teamAbbr""=>""FEY"", ""teamCity""=>""Rotterdam"", ""teamName""=>""Feyenoord"", ""teamFounded""=>""1908"", ""teamStadium""=>""De Kuip"", ""teamCapacity""=>51117, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=192""}",FEYENOORD,NETHERLANDS,true,"[""PES21"",""FIFA23""]"
ATHLETICO PARANAENSE,false,"{""teamAbbr""=>""CAP"", ""teamCity""=>""Curitiba"", ""teamName""=>""Athletico Paranaense"", ""teamFounded""=>""1924"", ""teamStadium""=>""Arena da Baixada"", ""teamCapacity""=>43900, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=287""}",ATHLETICO PARANAENSE,BRAZIL,true,"[""PES21"",""FIFA23""]"
SC INTERNACIONAL,false,"{""teamAbbr""=>""INT"", ""teamCity""=>""Porto Alegre"", ""teamName""=>""SC Internacional"", ""teamFounded""=>""1909"", ""teamStadium""=>""Beira Rio"", ""teamCapacity""=>51300, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=298""}",INTERNACIONAL,BRAZIL,true,"[""PES21"",""FIFA23""]"
CORINTHIANS,false,"{""teamAbbr""=>""COR"", ""teamCity""=>""São Paulo"", ""teamName""=>""Corinthians"", ""teamFounded""=>""1910"", ""teamStadium""=>""Arena Corinthians"", ""teamCapacity""=>48000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=290""}",CORINTHIANS,BRAZIL,true,"[""PES21"",""FIFA23""]"
SANTOS FC,false,"{""teamAbbr""=>""SFC"", ""teamCity""=>""Santos"", ""teamName""=>""Santos FC"", ""teamFounded""=>""1912"", ""teamStadium""=>""Vila Belmiro"", ""teamCapacity""=>16798, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=304""}",SANTOS,BRAZIL,true,"[""PES21"",""FIFA23""]"
CEARÁ SC,false,"{""teamAbbr""=>""CEA"", ""teamCity""=>""Fortaleza"", ""teamName""=>""Ceará SC"", ""teamFounded""=>""1914"", ""teamStadium""=>""Arena Castelão"", ""teamCapacity""=>67000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1458""}",CEARÁ,BRAZIL,true,"[""PES21"",""FIFA23""]"
MIDDLESBROUGH,false,"{""teamAbbr""=>""MID"", ""teamCity""=>""Middlesbrough"", ""teamName""=>""Middlesbrough"", ""teamFounded""=>""1876"", ""teamStadium""=>""Riverside Stadium"", ""teamCapacity""=>34988, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=50""}","MIDDLESBROUGH RW, MIDDLESBROUGH",ENGLAND,true,"[""PES21"",""FIFA23""]"
COVENTRY CITY,false,"{""teamAbbr""=>""COV"", ""teamCity""=>""Coventry"", ""teamName""=>""Coventry City"", ""teamFounded""=>""1883"", ""teamStadium""=>""Ricoh Arena"", ""teamCapacity""=>32609, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=25""}","COVENTRY CITY, COVENTRY, COVENTRY B",ENGLAND,true,"[""PES21"",""FIFA23""]"
AMÉRICA MINEIRO,false,"{""teamAbbr""=>""AMG"", ""teamCity""=>""Belo Horizonte"", ""teamName""=>""América Mineiro"", ""teamFounded""=>""1912"", ""teamStadium""=>""Independência"", ""teamCapacity""=>23018, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1614""}",AMÉRICA MINEIRO,BRAZIL,true,"[""PES21"",""FIFA23""]"
PRESTON NORTH END,false,"{""teamAbbr""=>""PNE"", ""teamCity""=>""Preston"", ""teamName""=>""Preston North End"", ""teamFounded""=>""1880"", ""teamStadium""=>""Deepdale"", ""teamCapacity""=>23408, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=61""}","PRESTON NORTH END, PRESTON WB",ENGLAND,true,"[""PES21"",""FIFA23""]"
BOLTON WANDERERS,false,"{""teamAbbr""=>""BOL"", ""teamCity""=>""Bolton"", ""teamName""=>""Bolton Wanderers"", ""teamFounded""=>""1874"", ""teamStadium""=>""University of Bolton Stadium"", ""teamCapacity""=>28723, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=7""}",BOLTON WANDERERS,ENGLAND,true,"[""FIFA23""]"
WILLEM II,false,"{""teamAbbr""=>""WIL"", ""teamCity""=>""Tilburg"", ""teamName""=>""Willem II"", ""teamFounded""=>""1896"", ""teamStadium""=>""Koning Willem II Stadion"", ""teamCapacity""=>14500, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=212""}",WILLEM II,NETHERLANDS,true,"[""PES21""]"
FC EMMEN,false,"{""teamAbbr""=>""EMM"", ""teamCity""=>""Emmen"", ""teamName""=>""FC Emmen"", ""teamFounded""=>""1925"", ""teamStadium""=>""De Oude Meerdijk"", ""teamCapacity""=>8600, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=183""}","EMMEN, FC EMMEN",NETHERLANDS,true,"[""PES21"",""FIFA23""]"
FC ORENBURG,false,"{""teamAbbr""=>""FCO"", ""teamCity""=>""Orenburg"", ""teamName""=>""FC Orenburg"", ""teamFounded""=>""1976"", ""teamStadium""=>""Gazovik Stadium"", ""teamCapacity""=>4950, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2619""}",ORENBURG,RUSSIA,true,"[""PES21""]"
Krylia SOVETOV Samara,false,"{""teamAbbr""=>""KSS"", ""teamCity""=>""Samara"", ""teamName""=>""Krylia Sovetov Samara"", ""teamFounded""=>""1942"", ""teamStadium""=>""Samara Arena"", ""teamCapacity""=>44918, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=257""}",Samara,RUSSIA,true,"[""PES21""]"
DESPORTIVO DAS AVES,false,"{""teamAbbr""=>""AVE"", ""teamCity""=>""Vila das Aves"", ""teamName""=>""Desportivo das Aves"", ""teamFounded""=>""1930"", ""teamStadium""=>""Clube Desportivo das Aves"", ""teamCapacity""=>10250, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=220""}","DESPORTIVO DAS AVES, CD AVES, AVES V",PORTUGAL,true,"[""PES21""]"
Hobro IK,false,"{""teamAbbr""=>""HIK"", ""teamCity""=>""Hobro"", ""teamName""=>""Hobro IK"", ""teamFounded""=>""1913"", ""teamStadium""=>""Hobro Stadion"", ""teamCapacity""=>6600, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1902""}","HOBRO, Hobro IK",DENMARK,true,"[""PES21""]"
Neuchâtel Xamax,false,"{""teamAbbr""=>""NEX"", ""teamCity""=>""Neuchâtel"", ""teamName""=>""Neuchâtel Xamax"", ""teamFounded""=>""1970"", ""teamStadium""=>""Maladière"", ""teamCapacity""=>12000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1189""}",neuchâtel,SWITZERLAND,true,"[""PES21""]"
BAYER LEVERKUSEN,false,"{""teamAbbr""=>""B04"", ""teamCity""=>""Leverkusen"", ""teamName""=>""Bayer Leverkusen"", ""teamFounded""=>""1904"", ""teamStadium""=>""BayArena"", ""teamCapacity""=>30810, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=390""}",BAYER LEVERKUSEN,GERMANY,true,"[""PES21"",""FIFA23""]"
AEK ATHENS,false,"{""teamAbbr""=>""AEK"", ""teamCity""=>""Athens"", ""teamName""=>""AEK Athens"", ""teamFounded""=>""1924"", ""teamStadium""=>""Agia Sophia Stadium"", ""teamCapacity""=>31527, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=372""}",AEK ATHENS,GREECE,true,"[""PES21"",""FIFA23""]"
PAOK,false,"{""teamAbbr""=>""PAK"", ""teamCity""=>""Thessaloniki"", ""teamName""=>""PAOK"", ""teamFounded""=>""1926"", ""teamStadium""=>""Toumba"", ""teamCapacity""=>30500, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=491""}",PAOK,GREECE,true,"[""PES21"",""FIFA23""]"
SCHALKE 04,false,"{""teamAbbr""=>""S04"", ""teamCity""=>""Gelsenkirchen"", ""teamName""=>""FC Schalke 04"", ""teamFounded""=>""1904"", ""teamStadium""=>""Veltins Arena"", ""teamCapacity""=>61973, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=398""}",SCHALKE 04,GERMANY,true,"[""PES21"",""FIFA23""]"
PANATHINAIKOS,false,"{""teamAbbr""=>""PAO"", ""teamCity""=>""Athens"", ""teamName""=>""Panathinaikos"", ""teamFounded""=>""1908"", ""teamStadium""=>""Apostolos Nikolaidis Stadium"", ""teamCapacity""=>16003, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=374""}",PANATHINAIKOS,GREECE,true,"[""PES21"",""FIFA23""]"
DINAMO ZAGREB,false,"{""teamAbbr""=>""DIN"", ""teamCity""=>""Zagreb"", ""teamName""=>""Dinamo Zagreb"", ""teamFounded""=>""1945"", ""teamStadium""=>""Maksimir"", ""teamCapacity""=>35123, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=365""}",DINAMO ZAGREB,CROATIA,true,"[""PES21"",""FIFA23""]"
FC UTRECHT,false,"{""teamAbbr""=>""UTR"", ""teamCity""=>""Utrecht"", ""teamName""=>""FC Utrecht"", ""teamFounded""=>""1970"", ""teamStadium""=>""Stadion Galgenwaard"", ""teamCapacity""=>24426, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=189""}","UTRECHT, FC UTRECHT",NETHERLANDS,true,"[""PES21"",""FIFA23""]"
HULL CITY,false,"{""teamAbbr""=>""HUL"", ""teamCity""=>""Kingston upon Hull"", ""teamName""=>""Hull City"", ""teamFounded""=>""1904"", ""teamStadium""=>""KCOM Stadium"", ""teamCapacity""=>25586, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=37""}","HULL CITY, HULL OB",ENGLAND,true,"[""PES21"",""FIFA23""]"
SHAKHTAR DONETSK,false,"{""teamAbbr""=>""SHA"", ""teamCity""=>""Donetsk"", ""teamName""=>""Shakhtar Donetsk"", ""teamFounded""=>""1936"", ""teamStadium""=>""Olimpiysky NSC"", ""teamCapacity""=>70050, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=348""}",SHAKHTAR DONETSK,UKRAINE,true,"[""PES21"",""FIFA23""]"
FORTUNA SITTARD,false,"{""teamAbbr""=>""FOR"", ""teamCity""=>""Sittard"", ""teamName""=>""Fortuna Sittard"", ""teamFounded""=>""1968"", ""teamStadium""=>""Fortuna Sittard Stadion"", ""teamCapacity""=>12500, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=193""}",FORTUNA SITTARD,NETHERLANDS,true,"[""PES21"",""FIFA23""]"
VITESSE,false,"{""teamAbbr""=>""VIT"", ""teamCity""=>""Arnhem"", ""teamName""=>""Vitesse"", ""teamFounded""=>""1892"", ""teamStadium""=>""Gelredome"", ""teamCapacity""=>25000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=209""}",VITESSE,NETHERLANDS,true,"[""PES21"",""FIFA23""]"
SC HEERENVEEN,false,"{""teamAbbr""=>""HEE"", ""teamCity""=>""Heerenveen"", ""teamName""=>""SC Heerenveen"", ""teamFounded""=>""1920"", ""teamStadium""=>""Abe Lenstra Stadion"", ""teamCapacity""=>26100, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=205""}","HEERENVEEN, SC HEERENVEEN",NETHERLANDS,true,"[""PES21"",""FIFA23""]"
FC GRONINGEN,false,"{""teamAbbr""=>""GRO"", ""teamCity""=>""Groningen"", ""teamName""=>""FC Groningen"", ""teamFounded""=>""1971"", ""teamStadium""=>""Euroborg"", ""teamCapacity""=>22550, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=187""}","GRONINGEN, FC GRONINGEN",NETHERLANDS,true,"[""PES21"",""FIFA23""]"
WYCOMBE WANDERERS,false,"{""teamAbbr""=>""WYC"", ""teamCity""=>""High Wycombe"", ""teamName""=>""Wycombe Wanderers"", ""teamFounded""=>""1887"", ""teamStadium""=>""Adams Park"", ""teamCapacity""=>10000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=90""}","WYCOMBE WANDERERS, WYCOMBE, WYCOMBE B",ENGLAND,true,"[""PES21"",""FIFA23""]"
EXTREMADURA UD,false,"{""teamAbbr""=>""EXT"", ""teamCity""=>""Almendralejo"", ""teamName""=>""Extremadura UD"", ""teamFounded""=>""2007"", ""teamStadium""=>""Francisco de la Hera"", ""teamCapacity""=>11580, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2598""}","EXTREMADURA AR, EXTREMADURA UD",SPAIN,true,"[""PES21""]"
RC DEPORTIVO,false,"{""teamAbbr""=>""DEP"", ""teamCity""=>""A Coruña"", ""teamName""=>""RC Deportivo"", ""teamFounded""=>""1906"", ""teamStadium""=>""Riazor"", ""teamCapacity""=>34611, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=145""}","RC DEPORTIVO, LA CORUÑA AB",SPAIN,true,"[""PES21""]"
OLYMPIACOS,false,"{""teamAbbr""=>""OLY"", ""teamCity""=>""Piraeus"", ""teamName""=>""Olympiacos"", ""teamFounded""=>""1925"", ""teamStadium""=>""Georgios Karaiskakis Stadium"", ""teamCapacity""=>33330, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=373""}",OLYMPIACOS PIRAEUS,GREECE,true,"[""PES21""]"
RIO AVE,false,"{""teamAbbr""=>""AVE"", ""teamCity""=>""Vila do Conde"", ""teamName""=>""Rio Ave"", ""teamFounded""=>""1939"", ""teamStadium""=>""Estádio dos Arcos"", ""teamCapacity""=>12820, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=241""}",RIO AVE,PORTUGAL,true,"[""PES21"",""FIFA23""]"
SV WALDHOF MANNHEIM,false,"{""teamAbbr""=>""SVW"", ""teamCity""=>""Mannheim"", ""teamName""=>""SV Waldhof Mannheim"", ""teamFounded""=>""1907"", ""teamStadium""=>""Carl-Benz-Stadion"", ""teamCapacity""=>27000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2838""}",SV WALDHOF MANNHEIM,GERMANY,true,"[""FIFA23""]"
BELENENSES,false,"{""teamAbbr""=>""BEL"", ""teamCity""=>""Lisbon"", ""teamName""=>""Belenenses"", ""teamFounded""=>""1919"", ""teamStadium""=>""Estádio do Restelo"", ""teamCapacity""=>25000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=6064""}","BELENENSES SAD, BELENENSES",PORTUGAL,true,"[""PES21""]"
MOREIRENSE FC,false,"{""teamAbbr""=>""MOR"", ""teamCity""=>""Moreira de Cónegos"", ""teamName""=>""Moreirense FC"", ""teamFounded""=>""1938"", ""teamStadium""=>""Comendador Joaquim de Almeida Freitas"", ""teamCapacity""=>9000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=233""}","MOREIRENSE FC, MOREIRENSE",PORTUGAL,true,"[""PES21""]"
RACING CLUB,false,"{""teamAbbr""=>""RAC"", ""teamCity""=>""Avellaneda"", ""teamName""=>""Racing Club"", ""teamFounded""=>""1903"", ""teamStadium""=>""Juan Domingo Perón"", ""teamCapacity""=>64161, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=281""}","RACING CLUB, RACING CLUB DE AVELLANEDA",ARGENTINA,true,"[""PES21"",""FIFA23""]"
ESTUDIANTES DE LP,false,"{""teamAbbr""=>""ELP"", ""teamCity""=>""La Plata"", ""teamName""=>""Estudiantes de LP"", ""teamFounded""=>""1905"", ""teamStadium""=>""Jorge Luis Hirschi"", ""teamCapacity""=>30018, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=272""}","ESTUDIANTES, ESTUDIANTES DE LA PLATA",ARGENTINA,true,"[""PES21"",""FIFA23""]"
ARGENTINOS JUNIORS,false,"{""teamAbbr""=>""ARG"", ""teamCity""=>""Buenos Aires"", ""teamName""=>""Argentinos Juniors"", ""teamFounded""=>""1904"", ""teamStadium""=>""Diego Armando Maradona"", ""teamCapacity""=>24600, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=267""}",ARGENTINOS JUNIORS,ARGENTINA,true,"[""PES21"",""FIFA23""]"
GIL VICENTE FC,false,"{""teamAbbr""=>""GIL"", ""teamCity""=>""Barcelos"", ""teamName""=>""Gil Vicente FC"", ""teamFounded""=>""1924"", ""teamStadium""=>""Estadio Cidade de Barcelos"", ""teamCapacity""=>12374, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=227""}","GIL VICENTE FC, GIL VICENTE",PORTUGAL,true,"[""PES21"",""FIFA23""]"
CA TALLERES,false,"{""teamAbbr""=>""CAT"", ""teamCity""=>""Córdoba"", ""teamName""=>""CA Talleres"", ""teamFounded""=>""1913"", ""teamStadium""=>""Estadio Mario Alberto Kempes"", ""teamCapacity""=>57000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1497""}",TALLERES DE CÓRDOBA,ARGENTINA,true,"[""PES21"",""FIFA23""]"
HURACÁN,false,"{""teamAbbr""=>""HUR"", ""teamCity""=>""Buenos Aires"", ""teamName""=>""Huracán"", ""teamFounded""=>""1908"", ""teamStadium""=>""Tomás Adolfo Ducó"", ""teamCapacity""=>48314, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=274""}",HURACÁN,ARGENTINA,true,"[""PES21"",""FIFA23""]"
